boj_id,boj_problem,boj_tier,year,month,day
kimhg127,1005,13,2025,3,24
jangwonjun0368,1032,5,2025,3,24
kimhg127,1003,8,2025,3,24
han05280505,1941,13,2025,3,24
jwpassion1,26906,3,2025,3,24
jimmy5830,2480,2,2025,3,24
